Comparison,Mean_Difference,CI_Lower,CI_Upper,Raw_p_value,FDR_corrected_p,Significant_FDR
Good_SNR_Dominant Freq vs Good_SNR_X Position,0.0140425443009481,-0.00816911253520342,0.0362542011370997,0.189260265710211,0.250514625566628,0
Good_SNR_Dominant Freq vs Good_SNR_Y Position,0.00641236281079721,-0.0209055640279677,0.0337302896495621,0.612356232922434,0.671277107567892,0
Good_SNR_Dominant Freq vs Good_SNR_Z Position,0.0177362712653992,-0.026614869567588,0.0620874120983865,0.393838453440822,0.470541073586601,0
Good_SNR_Dominant Freq vs Good_SNR_Speed,0.0685778068826377,0.0546425055914826,0.0825131081737929,6.79044248893311e-07,9.84614160895301e-06,1
Good_SNR_Dominant Freq vs Good_SNR_tSNE-X,0.0615902011181052,0.0401581453879837,0.0830222568482268,7.80150020506633e-05,0.000429082511278648,1
Good_SNR_Dominant Freq vs Good_SNR_tSNE-Y,0.0697597724228309,0.0485488668623137,0.0909706779833482,2.51735081413765e-05,0.0001867523045837,1
Good_SNR_Dominant Freq vs Good_SNR_IR1,0.102319994157843,0.0552007167568955,0.149439271558791,0.000683103029366225,0.00253580045232025,1
Good_SNR_Dominant Freq vs Good_SNR_IR2,0.108125443890087,0.0781943359278191,0.138056551852356,1.11600279145158e-05,9.78435851971095e-05,1
Good_SNR_Dominant Freq vs Good_SNR_WP1,0.10646763559203,0.0810444570774712,0.13189081410659,2.98706982743949e-06,3.28577681018344e-05,1
Good_SNR_Dominant Freq vs Good_SNR_WP2,0.129901329635052,0.114503974609906,0.145298684660198,3.93047984423562e-09,2.50764614062233e-07,1
Good_SNR_Dominant Freq vs Good_SNR_Shock,0.146259809361104,0.134203963421664,0.158315655300545,1.11005944991503e-10,1.77054482261448e-08,1
Good_SNR_Dominant Freq vs Good_SNR_Sound,0.146259809361104,0.134203963421664,0.158315655300545,1.11005944991503e-10,1.77054482261448e-08,1
Good_SNR_Dominant Freq vs Bad_SNR_Dominant Freq,0.062401939931371,0.0364116344517674,0.0883922454109746,0.000752763544428946,0.00272876784855493,1
Good_SNR_Dominant Freq vs Bad_SNR_X Position,-0.00399340070194243,-0.0269940919880982,0.0190072905842134,0.693679358782276,0.740079315891458,0
Good_SNR_Dominant Freq vs Bad_SNR_Y Position,-0.00443943154616891,-0.0383527446914844,0.0294738815991466,0.765920423642554,0.809035149476738,0
Good_SNR_Dominant Freq vs Bad_SNR_Z Position,0.0277261541084352,-0.00356759671209805,0.0590199049289685,0.0744132235240149,0.109897306963707,0
Good_SNR_Dominant Freq vs Bad_SNR_Speed,0.0468913671005002,0.0258693235571403,0.06791341064386,0.00115496510864227,0.00399358496605341,1
Good_SNR_Dominant Freq vs Bad_SNR_tSNE-X,0.048741505362682,0.0175644974250232,0.0799185133003409,0.00768728954706513,0.0187194302710975,1
Good_SNR_Dominant Freq vs Bad_SNR_tSNE-Y,0.0677383534424499,0.0462982479978789,0.0891784588870209,0.000140718395807082,0.000680138913067563,1
Good_SNR_Dominant Freq vs Bad_SNR_IR1,0.0730040201844103,0.0144453701912322,0.131562670177588,0.0214697727138814,0.0410111227289112,1
Good_SNR_Dominant Freq vs Bad_SNR_IR2,0.117950582989095,0.0874127940097491,0.148488371968441,3.87647638017032e-05,0.000263105524526453,1
Good_SNR_Dominant Freq vs Bad_SNR_WP1,0.11985119427967,0.0857667810935881,0.153935607465751,7.11857203005345e-05,0.000405504370997688,1
Good_SNR_Dominant Freq vs Bad_SNR_WP2,0.118537713250602,0.084062413084012,0.153013013417192,8.21981381675666e-05,0.00043950957202542,1
Good_SNR_Dominant Freq vs Bad_SNR_Shock,0.146259809361104,0.127530826726752,0.164988791995457,3.38612667484131e-07,6.75109005796485e-06,1
Good_SNR_Dominant Freq vs Bad_SNR_Sound,0.146259809361104,0.127530826726752,0.164988791995457,3.38612667484131e-07,6.75109005796485e-06,1
Good_SNR_X Position vs Good_SNR_Y Position,-0.00763018149015093,-0.0384350509679466,0.0231746879876448,0.593137680147784,0.661576643241759,0
Good_SNR_X Position vs Good_SNR_Z Position,0.00369372696445108,-0.0428862531768434,0.0502737071057455,0.863280436564865,0.897024297277498,0
Good_SNR_X Position vs Good_SNR_Speed,0.0545352625816896,0.0346138299311198,0.0744566952322594,0.000115759736068537,0.000568113166244053,1
Good_SNR_X Position vs Good_SNR_tSNE-X,0.0475476568171571,0.0218182209586904,0.0732770926756238,0.00208516737582974,0.00652125875382046,1
Good_SNR_X Position vs Good_SNR_tSNE-Y,0.0557172281218828,0.0301717124396129,0.0812627438041527,0.000661626246618178,0.00251260443656189,1
Good_SNR_X Position vs Good_SNR_IR1,0.0882774498568951,0.039054516588312,0.137500383125478,0.00253467137647838,0.00748666823237596,1
Good_SNR_X Position vs Good_SNR_IR2,0.0940828995891393,0.0609386379345952,0.127227161243683,8.62784844690715e-05,0.00043950957202542,1
Good_SNR_X Position vs Good_SNR_WP1,0.0924250912910822,0.0632873346416924,0.121562847940472,3.42532988528078e-05,0.000247149240314395,1
Good_SNR_X Position vs Good_SNR_WP2,0.115858785334104,0.0948885826992629,0.136828987968945,2.29703872783143e-07,5.23396681555876e-06,1
Good_SNR_X Position vs Good_SNR_Shock,0.132217265060156,0.113562124264884,0.150872405855428,2.13060947347986e-08,9.60712874152801e-07,1
Good_SNR_X Position vs Good_SNR_Sound,0.132217265060156,0.113562124264884,0.150872405855428,2.13060947347986e-08,9.60712874152801e-07,1
Good_SNR_X Position vs Bad_SNR_Dominant Freq,0.0483593956304229,0.0142327787955423,0.0824860124653035,0.0122371936634096,0.0263686040984694,1
Good_SNR_X Position vs Bad_SNR_X Position,-0.0180359450028906,-0.0499445926914512,0.0138727026856701,0.223168579909095,0.288729561600689,0
Good_SNR_X Position vs Bad_SNR_Y Position,-0.0184819758471171,-0.05896953944588,0.0220055877516459,0.316184756818497,0.387934374711926,0
Good_SNR_X Position vs Bad_SNR_Z Position,0.0136836098074871,-0.0246364741967172,0.0520036938116914,0.426371391406864,0.505622579400705,0
Good_SNR_X Position vs Bad_SNR_Speed,0.032848822799552,0.00233560742636394,0.0633620381727401,0.0383478929048023,0.0664835751990866,0
