Feature,Mean_R2_Drop,SEM_R2_Drop,GoodSNR_R2_Drop,BadBreathing_R2_Drop
Dominant Freq,0.0426124159338788,0.00496095647786721,0.0586808738599194,0.0474275881293387
X Position,0.0792778011132247,0.00907823246521898,0.0896830670295382,0.106571034382871
Y Position,0.0837370894806725,0.00818048686809071,0.0922028485681087,0.107460176215465
Z Position,0.0437526723173014,0.00362568487867467,0.0527061794292129,0.0485157366722241
Speed,0.00298742454488276,0.00199337587775249,0.000933691588573704,0.00207746351634911
tSNE-X,0.00840490369828731,0.00167364067529265,0.0111282696546927,0.0113963121188421
tSNE-Y,0.00656756680621168,0.0011606314985735,0.00581173006007026,0.0138157928729925
IR1,0.00143193108372451,0.00151447720935653,-0.00189101062062946,0.0057304732008225
IR2,0.00125182190979961,0.00126378759210551,-0.00226785130522827,0.00318319490555459
WP1,0.00205479939533652,0.0011219177415353,0.00211314648632534,0.00647019230852626
WP2,0.00260385194514366,0.00131257151480125,0.00189053236527902,0.00309272811452691
Shock,0.00246763833906157,0.0010453226274224,0.00141656789082018,0.00270779077592601
Sound,0.00246763833906157,0.0010453226274224,0.00141656789082018,0.00270779077592601
