Feature,Raw_p_value,FDR_corrected_p,Bonferroni_corrected_p,Holm_corrected_p,Raw_significant,FDR_significant,Bonferroni_significant,Holm_significant
Dominant Freq,0.000752763544428946,0.00828039898871841,0.0097859260775763,0.0097859260775763,1,1,1,1
X Position,0.223168579909095,0.79215524815674,1,1,0,0,0,0
Y Position,0.605278531008126,0.793595710976819,1,1,0,0,0,0
Z Position,0.748713592319202,0.823584951551123,1,1,0,0,0,0
Speed,0.00938455843441239,0.0516150713892681,0.121999259647361,0.112614701212949,1,0,0,0
tSNE-X,0.440226016237153,0.79215524815674,1,1,0,0,0,0
tSNE-Y,0.87395855186971,0.87395855186971,1,1,0,0,0,0
IR1,0.465981099375647,0.79215524815674,1,1,0,0,0,0
IR2,0.649305581708307,0.793595710976819,1,1,0,0,0,0
WP1,0.504098794281562,0.79215524815674,1,1,0,0,0,0
WP2,0.436233624173234,0.79215524815674,1,1,0,0,0,0
Shock,NaN,NaN,NaN,1,0,0,0,0
Sound,NaN,NaN,NaN,1,0,0,0,0
